
Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 11:57:59 2026
Timers Off: Sat Jul 18 11:57:59 2026

Wall Time:        0.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: PNNL-KM3X724WWL

Timers On : Sat Jul 18 12:00:00 2026
Timers Off: Sat Jul 18 12:00:36 2026

Wall Time:       36.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Wall Time:    15644.27 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    134.467u     14.083s     40.143w   2125 calls
build grid                          :     95.633u      9.833s     14.211w   2125 calls
post-process grid                   :     38.650u      4.233s     25.787w   2125 calls
DFH: sparsity prep                  :     19.917u      0.550s     12.617w   2125 calls
Libint2ERI::Libint2ERI              :     50.317u      7.233s     34.961w  65671 calls
DFH: initialize()                   :   4343.533u    380.133s    449.144w   2125 calls
DFH: AO Construction                :    212.167u     15.133s     16.603w   2125 calls
DFH: AO-Met. Contraction            :    362.750u     17.050s     26.133w   2125 calls
HF: Form core H                     :     26.367u     49.000s     33.074w   2124 calls
HF: Form S/X                        :     19.583u     50.600s     12.730w   2124 calls
HF: Guess                           :    110.700u    443.767s    191.383w   2124 calls
SAD Guess                           :    109.017u    441.017s    188.680w   2120 calls
HF: Form G                          : 162760.483u    952.617s   9632.062w  31698 calls
RV: Form V                          : 145918.550u    674.167s   8553.583w  31698 calls
Properties                          :  27440.840p                         39058476 calls
Functional                          :  21169.574p                         39058476 calls
V_xc                                :  33772.435p                         33484180 calls
JK: D                               :      1.367u      0.117s      0.910w  35112 calls
JK: USO2AO                          :      0.150u      0.033s      0.115w  35112 calls
JK: JK                              :  22492.483u    275.733s   1410.121w  35112 calls
DFH: compute_JK()                   :  22492.217u    275.667s   1409.913w  35112 calls
DFH: Grabbing AOs                   :      0.050u      0.083s      0.024w  35112 calls
DFH: compute_J                      :    361.400u     47.567s     30.275w  35112 calls
DFH: compute_K                      :  22119.050u    118.683s   1313.573w  35112 calls
JK: AO2USO                          :      0.033u      0.017s      0.032w  35112 calls
HF: Form F                          :      3.183u     22.650s      3.603w  31698 calls
HF: Form D                          :      1.133u      0.050s      0.670w  31698 calls
HF: DIIS                            :    200.950u    399.100s    158.047w  29578 calls
HF: Form C                          :    232.183u    704.050s    169.423w  29578 calls
Grad: V T Perturb                   :     41.167u     44.133s     23.984w   1863 calls
Grad: S                             :     22.317u     24.250s     12.213w   1863 calls
Grad: JK                            :   5490.350u    363.117s    531.908w   1863 calls
JKGrad: Amn                         :    286.850u     33.717s     45.615w   1863 calls
JKGrad: Awmn                        :      0.000u      0.017s      0.002w   1863 calls
JKGrad: AB                          :   3648.350u    273.783s    330.748w   1863 calls
JKGrad: UV                          :    536.450u      8.750s     35.374w   1863 calls
JKGrad: ABx                         :     54.050u     10.733s     10.508w   1863 calls
JKGrad: Amnx                        :    964.200u     31.717s     83.545w   1863 calls
Grad: XC                            :   9838.850u     72.367s    596.655w   1863 calls
V_xc gradient                       :   1968.954p                         1967994 calls
RV: Form Vx                         :  49583.650u    217.583s   2903.988w   3414 calls
Derivative Properties               :   9465.805p                         10779798 calls
V_XCd                               :   9230.226p                         10779798 calls

--------------------------------------------------------------------------------------
V: Grid                             :    134.467u     14.083s     40.143w   2125 calls
| build grid                        :     95.633u      9.833s     14.211w   2125 calls
| post-process grid                 :     38.650u      4.233s     25.787w   2125 calls
DFH: sparsity prep                  :     19.917u      0.550s     12.617w   2125 calls
| Libint2ERI::Libint2ERI            :     12.633u      0.467s      8.262w   2125 calls
DFH: initialize()                   :   4343.533u    380.133s    449.144w   2125 calls
| Libint2ERI::Libint2ERI            :     14.317u      2.750s     10.516w  31875 calls
| DFH: AO Construction              :    212.167u     15.133s     16.603w   2125 calls
| DFH: AO-Met. Contraction          :    362.750u     17.050s     26.133w   2125 calls
HF: Form core H                     :     26.367u     49.000s     33.074w   2124 calls
HF: Form S/X                        :     19.583u     50.600s     12.730w   2124 calls
HF: Guess                           :    110.700u    443.767s    191.383w   2124 calls
| SAD Guess                         :    109.017u    441.017s    188.680w   2120 calls
HF: Form G                          : 162760.483u    952.617s   9632.062w  31698 calls
| RV: Form V                        : 145918.550u    674.167s   8553.583w  31698 calls
| | Properties                      :  22118.165p                         33484180 calls
| | Functional                      :  17724.675p                         33484180 calls
| | V_xc                            :  33772.435p                         33484180 calls
| JK: D                             :      1.033u      0.117s      0.701w  31698 calls
| JK: USO2AO                        :      0.133u      0.033s      0.068w  31698 calls
| JK: JK                            :  16833.350u    217.217s   1061.250w  31698 calls
| | DFH: compute_JK()               :  16833.100u    217.150s   1061.080w  31698 calls
| | | DFH: Grabbing AOs             :      0.050u      0.083s      0.021w  31698 calls
| | | DFH: compute_J                :    261.567u     38.050s     22.246w  31698 calls
| | | DFH: compute_K                :  16561.217u     86.783s    982.964w  31698 calls
| JK: AO2USO                        :      0.033u      0.017s      0.029w  31698 calls
HF: Form F                          :      3.183u     22.650s      3.603w  31698 calls
HF: Form D                          :      1.133u      0.050s      0.670w  31698 calls
HF: DIIS                            :    200.950u    399.100s    158.047w  29578 calls
HF: Form C                          :    232.183u    704.050s    169.423w  29578 calls
Grad: V T Perturb                   :     41.167u     44.133s     23.984w   1863 calls
Grad: S                             :     22.317u     24.250s     12.213w   1863 calls
Grad: JK                            :   5490.350u    363.117s    531.908w   1863 calls
| JKGrad: Amn                       :    286.850u     33.717s     45.615w   1863 calls
| | Libint2ERI::Libint2ERI          :     11.050u      0.233s      6.688w   1863 calls
| JKGrad: Awmn                      :      0.000u      0.017s      0.002w   1863 calls
| JKGrad: AB                        :   3648.350u    273.783s    330.748w   1863 calls
| | Libint2ERI::Libint2ERI          :      1.767u      2.617s      2.408w  26082 calls
| JKGrad: UV                        :    536.450u      8.750s     35.374w   1863 calls
| JKGrad: ABx                       :     54.050u     10.733s     10.508w   1863 calls
| | Libint2ERI::Libint2ERI          :      0.250u      0.600s      0.405w   1863 calls
| JKGrad: Amnx                      :    964.200u     31.717s     83.545w   1863 calls
| | Libint2ERI::Libint2ERI          :     10.300u      0.567s      6.682w   1863 calls
Grad: XC                            :   9838.850u     72.367s    596.655w   1863 calls
| Properties                        :   1999.473p                         1967994 calls
| Functional                        :   1123.419p                         1967994 calls
| V_xc gradient                     :   1968.954p                         1967994 calls
JK: D                               :      0.333u      0.000s      0.208w   3414 calls
JK: USO2AO                          :      0.017u      0.000s      0.047w   3414 calls
JK: JK                              :   5659.133u     58.517s    348.871w   3414 calls
| DFH: compute_JK()                 :   5659.117u     58.517s    348.833w   3414 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.003w   3414 calls
| | DFH: compute_J                  :     99.833u      9.517s      8.029w   3414 calls
| | DFH: compute_K                  :   5557.833u     31.900s    330.609w   3414 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w   3414 calls
RV: Form Vx                         :  49583.650u    217.583s   2903.988w   3414 calls
| Properties                        :   3323.202p                         3606302 calls
| Functional                        :   2321.479p                         3606302 calls
| Derivative Properties             :   9465.805p                         10779798 calls
| V_XCd                             :   9230.226p                         10779798 calls

**************************************************************************************
